timestamp_utc,depth_in,temperature_f,battery_v,battery_pct,loop_ma,rssi_dbm,snr_db,status_flags,sample_count
2026-08-23T01:45:00Z,15.47,,4.154,96,4.961,-99.0,-5.88,,4
2026-08-23T01:50:00Z,15.49,,4.146,96,4.962,-99.5,-6.88,,10
2026-08-23T01:55:00Z,15.47,81.50,4.139,95,4.961,-100.0,-7.25,,11
2026-08-23T02:00:00Z,15.51,81.39,4.130,95,4.963,-98.0,-7.00,,11
2026-08-23T02:05:00Z,15.51,81.39,4.125,94,4.964,-97.0,-5.38,,10
2026-08-23T02:10:00Z,15.51,81.39,4.118,94,4.964,-96.0,-4.75,,11
2026-08-23T02:15:00Z,15.51,81.39,4.117,94,4.964,-97.0,-4.75,,11
2026-08-23T02:20:00Z,15.51,81.39,4.108,93,4.964,-97.0,-4.75,,11
2026-08-23T02:25:00Z,15.51,81.39,4.108,94,4.964,-98.0,-5.00,,11
2026-08-23T02:30:00Z,15.55,81.39,4.101,93,4.965,-96.0,-3.00,,11
2026-08-23T02:35:00Z,15.51,81.39,4.102,93,4.964,-98.0,-4.75,,11
2026-08-23T02:40:00Z,15.57,81.39,4.096,92,4.966,-100.5,-8.38,,10
2026-08-23T02:45:00Z,15.59,81.39,4.093,92,4.970,-101.0,-8.75,,11
2026-08-23T02:50:00Z,15.63,81.28,4.091,92,4.973,-102.5,-10.62,,6
